Sr No,,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045
1,General Information
2,Client,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
3,Your_income_tax_rate,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
4,Spouse,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
5,Spouse's_income_tax_rate,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
6,Income
7,EARNED_INCOME,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,SPOUSE_EARNED_INCOME,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,REGULAR_DIVIDEND,2152,0,466714,6942546,79724450,830637813,8228633461,79131131963,746881694990,6963717026260,64395928639815,5.9215255314037E+14,5.4239986824291E+15,4.954817195596E+16,4.5176201806202E+17,4.11348873721E+18,3.741971046825E+19,3.4017327454271E+20,3.0909666015635E+21,2.8076478531156E+22,2.5496908168226E+23,2.3150425656383E+24,2.1017366927117E+25
10,SPOUSE_REGULAR_DIVIDEND,26568,303498,2424275,19568812,161163864,1355922032,11616716675,100984268692,887834426890,7872862147017,70259914668703,6.299752630267E+14,5.6679551611959E+15,5.1121691244006E+16,4.6191121746991E+17,4.178951073391E+18,3.7841942536617E+19,3.4289667138367E+20,3.1085325111878E+21,2.8189778648232E+22,2.556998674374E+23,2.319756133759E+24,2.1047769441496E+25
11,PERMANENT_LIFE_INSURANCE,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,total_funds_in,28790,303498,2890989,26511358,240888314,2186559845,19845350136,180115400655,1634716121880,14836579173277,1.3465584330852E+14,1.2221278161671E+15,1.1091953843625E+16,1.0066986319997E+17,9.1367323553193E+17,8.292439810601E+18,7.5261653004867E+19,6.8306994592638E+20,6.1994991127513E+21,5.6266257179387E+22,5.1066894911966E+23,4.6347986993973E+24,4.2065136368613E+25
13,TAX,0,0,166709,2896920,33581770,350166844,3469161809,33361655178,314885292550,2935903068214,27149323484488,2.4965151637392E+14,2.286757844482E+15,2.0889509296603E+16,1.9046286681492E+17,1.7342468516077E+18,1.5776149933414E+19,1.434170525472E+20,1.3031515192192E+21,1.1837043348735E+22,1.0749496483724E+23,9.7602194567311E+23,8.8609218964727E+24
14,SPOUSE_TAX,2742,97897,992017,8220153,67916627,571626671,4897577692,42574937623,374310964319,3319198651125,29621579994267,2.65597570862E+14,2.3896098959301E+15,2.1552905028443E+16,1.9474176928528E+17,1.7618457725416E+18,1.5954162973438E+19,1.4456523665536E+20,1.3105573067168E+21,1.1884810678095E+22,1.0780306411161E+23,9.7800918599279E+23,8.8737395965346E+24
15,total_funds_out,2742,97897,1158726,11117073,101498397,921793515,8366739501,75936592801,689196256869,6255101719339,56770903478755,5.1524908723592E+14,4.6763677404122E+15,4.2442414325046E+16,3.852046361002E+17,3.4960926241493E+18,3.1730312906852E+19,2.8798228920256E+20,2.6137088259359E+21,2.372185402683E+22,2.1529802894885E+23,1.9540311316659E+24,1.7734661493007E+25
16,net_funds_in,26048,205601,1732263,15394285,139389917,1264766330,11478610635,104178807854,945519865011,8581477453938,77884939829763,7.0687872893114E+14,6.4155861032128E+15,5.8227448874921E+16,5.2846859943173E+17,4.7963471864517E+18,4.3531340098015E+19,3.9508765672382E+20,3.5857902868153E+21,3.2544403152558E+22,2.9537092017081E+23,2.6807675677314E+24,2.4330474875606E+25
17,NON_REGISTERED_ASSET,474,16081,102800,1529195,17560452,182959871,1812474331,17429764750,164511386562,1533858375828,14184125251060,1.3043007778422E+14,1.1947133661738E+15,1.0913694263427E+16,9.9507052436567E+16,9.0605478793172E+17,8.2422269753854E+18,7.4928034040244E+19,6.8082964792148E+20,6.1842463725012E+21,5.6160590678912E+22,5.0992126996439E+23,4.202471247743E+25
18,REGULAR_BOOK_VALUE,55,13079,115879,982011,8679153,78374112,710757276,6450062593,58539466521,531299399026,4822038125995,43764508040876,3.9720387250645E+14,3.6049969241128E+15,3.2718721361573E+16,2.9695302107744E+17,2.6951266143033E+18,2.4460796663311E+19,2.2200462502522E+20,2.0148997684329E+21,1.8287101344712E+22,1.6597256143012E+23,1.3671593783099E+25
19,SPOUSE_NON_REGISTERED_ASSET,5,55,7253,79711,876024,9627504,105806269,1162810896,12779291747,140444416299,1543484135126,16962890645035,1.8642216818894E+14,2.0487796283964E+15,2.2516088116076E+16,2.4745180839568E+17,2.7194953742685E+18,2.9887254163211E+19,3.2846092325369E+20,3.609785546558E+21,3.9671543156673E+22,4.3599025929184E+23,5.2658947116294E+25
20,RRSP,55,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,SPOUSE_LIRA,5852,50769,533981,4310311,35498648,298661240,2558748166,22243230989,195558243808,1734110605070,15475752129670,1.3876107115125E+14,1.2484482733912E+15,1.1260284414979E+16,1.0174255891408E+17,9.2047380471166E+17,8.3352296336161E+18,7.5527901185831E+19,6.8469879101052E+20,6.2092023454255E+21,5.6321556704273E+22,5.1095950082797E+23,4.2067905476932E+25
22,SPOUSE_LIF,45,13069,115869,982001,8679143,78374102,710757266,6450062583,58539466511,531299399016,4822038125985,43764508040866,3.9720387250644E+14,3.6049969241128E+15,3.2718721361573E+16,2.9695302107744E+17,2.6951266143033E+18,2.4460796663311E+19,2.2200462502522E+20,2.0148997684329E+21,1.8287101344712E+22,1.6597256143012E+23,1.3671593783099E+25
23,total_assets,6431,80579,759903,6901218,62614267,569622717,5187786032,47285869218,431388388628,3939712796213,36025399641841,3.2991854762138E+14,3.0267876802603E+15,2.7827755230916E+16,2.5648442082829E+17,2.3709334221165E+18,2.1992078597573E+19,2.048039860526E+20,1.9159939872109E+21,1.8018134032918E+22,1.7044079188457E+23,1.6228435915143E+24,1.5042315885375E+26
